task,classifier,validation_strategy,subject_id,sample_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
6class,logistic_regression,within_subject_5fold,2,120,0.25,0.25,0.2752208575737987,0.25,0.259158747713735
6class,logistic_regression,within_subject_5fold,3,120,0.31666666666666665,0.31666666666666665,0.309584216952638,0.31666666666666665,0.31146739439422366
6class,logistic_regression,within_subject_5fold,4,120,0.225,0.22499999999999998,0.22685185185185183,0.22499999999999998,0.22547846889952153
6class,logistic_regression,within_subject_5fold,5,120,0.25833333333333336,0.25833333333333336,0.25984730848861287,0.25833333333333336,0.25741332783306686
6class,logistic_regression,within_subject_5fold,6,120,0.31666666666666665,0.3166666666666667,0.32164905098341634,0.3166666666666667,0.3177452454493812
6class,knn,within_subject_5fold,1,120,0.15833333333333333,0.15833333333333335,0.15925779951671293,0.15833333333333335,0.15642364073988327
6class,knn,within_subject_5fold,2,120,0.20833333333333334,0.20833333333333334,0.2172091300288231,0.20833333333333334,0.2111705961252189
6class,knn,within_subject_5fold,3,120,0.3416666666666667,0.3416666666666666,0.34843627789279963,0.3416666666666666,0.3412463973015489
6class,knn,within_subject_5fold,4,120,0.225,0.22499999999999998,0.23755191117891347,0.22499999999999998,0.22072880441337075
6class,knn,within_subject_5fold,5,120,0.24166666666666667,0.2416666666666667,0.24848082674169633,0.2416666666666667,0.23653672588801103
6class,knn,within_subject_5fold,6,120,0.15833333333333333,0.15833333333333335,0.1718342931578226,0.15833333333333335,0.15789008530944015
6class,random_forest,within_subject_5fold,1,120,0.15833333333333333,0.15833333333333335,0.1555945344645035,0.15833333333333335,0.15681344035002573
6class,random_forest,within_subject_5fold,2,120,0.24166666666666667,0.24166666666666667,0.24622119379152627,0.24166666666666667,0.24290006339145068
6class,random_forest,within_subject_5fold,3,120,0.2916666666666667,0.29166666666666663,0.27643048672460435,0.29166666666666663,0.2818460071390249
6class,random_forest,within_subject_5fold,4,120,0.20833333333333334,0.20833333333333334,0.21459219386850967,0.20833333333333334,0.20835355199804054
6class,random_forest,within_subject_5fold,5,120,0.275,0.27499999999999997,0.2838455204216074,0.27499999999999997,0.2759056594213913
6class,random_forest,within_subject_5fold,6,120,0.25833333333333336,0.2583333333333333,0.2693312387248314,0.2583333333333333,0.2621383568781843
